x y fscore
0.734 0.418 0.637
0.796 0.354 0.637
0.796 0.354 0.637
0.837 0.326 0.637
0.731 0.420 0.637
0.796 0.354 0.637
0.796 0.354 0.637
0.804 0.347 0.637
0.710 0.450 0.637
0.726 0.427 0.637
0.802 0.348 0.636
0.802 0.348 0.636
0.802 0.348 0.636
0.802 0.348 0.636
0.732 0.417 0.636
0.767 0.378 0.636
0.979 0.265 0.636
0.760 0.385 0.636
0.666 0.539 0.636
0.672 0.522 0.636
0.700 0.464 0.636
0.845 0.319 0.635
0.721 0.430 0.635
0.832 0.327 0.635
0.832 0.327 0.635
0.699 0.465 0.635
0.798 0.350 0.635
0.765 0.378 0.635
0.978 0.264 0.635
0.798 0.349 0.635
0.857 0.311 0.635
0.758 0.384 0.635
0.798 0.349 0.634
0.660 0.548 0.634
0.712 0.441 0.634
0.765 0.376 0.634
0.799 0.347 0.634
0.799 0.347 0.634
0.758 0.383 0.634
